% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 30.57    4.426654     4426654         1 main
 28.25    4.089700         204     20000 rand
 16.97    2.456602         139     17660 _Z8tree_sumP4Node
 10.26    1.485094      297018         5 _ZNSt6vectorI10ExperimentSaIS0_EE17_M_realloc_insertIJRKmEEEvN9__gnu_cxx17__normal_iteratorIPS0_S2_EEDpOT_
  8.94    1.293754         129     10000 random
  3.62    0.524747          52     10000 random_r
  0.41    0.058802         653        90 _ZNSt6vectorIPP4NodeSaIS2_EE17_M_realloc_insertIJS2_EEEvN9__gnu_cxx17__normal_iteratorIPS2_S4_EEDpOT_
  0.24    0.034080         146       232 _Znwm
  0.11    0.015630          67       232 _ZdlPvm
  0.05    0.007815          67       116 free
  0.05    0.007815          67       116 _ZdlPv
  0.05    0.007465          63       117 malloc
  0.04    0.005826         728         8 _ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l
  0.04    0.005144          57        90 memmove
  0.03    0.004496        1124         4 __cxa_finalize
  0.03    0.004485         448        10 _ZNSo5flushEv
  0.03    0.004306         717         6 _ZNSo3putEc
  0.03    0.004075        4075         1 _ZNSt8ios_base4InitD1Ev
  0.02    0.002690        1345         2 _ZNSo9_M_insertIdEERSoT_
  0.02    0.002409         344         7 _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE6xsputnEPKcl
  0.02    0.002409         344         7 fwrite
  0.02    0.002228         557         4 _ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv
  0.01    0.002090         522         4 _ZNSo9_M_insertIlEERSoT_
  0.01    0.001851         264         7 _IO_file_xsputn
  0.01    0.001703         131        13 fflush
  0.01    0.001624         116        14 _IO_file_overflow
  0.01    0.001529         191         8 __default_morecore
  0.01    0.001314          77        17 _ZNSo6sentryC1ERSo
  0.01    0.001083         361         3 __overflow
  0.01    0.001083         361         3 _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE8overflowEi
  0.01    0.001083         361         3 putc
  0.01    0.001069         133         8 _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv
  0.01    0.001049        1049         1 _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE15_M_insert_floatIdEES3_S3_RSt8ios_baseccT_
  0.01    0.001049        1049         1 _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecd
  0.01    0.001045         348         3 _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_.isra.0
  0.01    0.000918         114         8 sbrk
  0.01    0.000902         225         4 _IO_do_write
  0.01    0.000792         792         1 _IO_default_xsputn
  0.01    0.000756          54        14 _IO_file_sync
  0.00    0.000634         317         2 _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecl
  0.00    0.000634         317         2 _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE13_M_insert_intIlEES3_S3_RSt8ios_basecT_
  0.00    0.000634         126         5 _ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv
  0.00    0.000602         150         4 _ZNSt13basic_ostreamIwSt11char_traitsIwEE6sentryC1ERS2_
  0.00    0.000595         198         3 _IO_file_write
  0.00    0.000548         274         2 srand
  0.00    0.000484         484         1 _IO_doallocbuf
  0.00    0.000440         220         2 _ZSt18uncaught_exceptionv
  0.00    0.000433         433         1 __cxa_atexit
  0.00    0.000411         411         1 _init
  0.00    0.000402         402         1 _IO_file_doallocate
  0.00    0.000368          92         4 brk
  0.00    0.000361         361         1 _dl_audit_preinit
  0.00    0.000348         348         1 register_tm_clones
  0.00    0.000348         116         3 write
  0.00    0.000348         348         1 frame_dummy
  0.00    0.000342          85         4 getrusage
  0.00    0.000304          76         4 clock_gettime
  0.00    0.000283         141         2 __cxa_get_globals
  0.00    0.000206         206         1 __do_global_dtors_aux
  0.00    0.000204          51         4 _ZNKSt6locale2id5_M_idEv
  0.00    0.000166         166         1 vsnprintf
  0.00    0.000144         144         1 _ZNSt6locale5facet15_S_get_c_localeEv
  0.00    0.000128         128         1 _IO_file_setbuf
  0.00    0.000122         122         1 __sigsetjmp
  0.00    0.000122         122         1 _setjmp
  0.00    0.000109          54         2 _ZNSt14error_categoryD1Ev
  0.00    0.000108         108         1 srandom_r
  0.00    0.000107          53         2 __tls_get_addr
  0.00    0.000107          53         2 uselocale
  0.00    0.000085          85         1 _IO_file_stat
  0.00    0.000085          85         1 fstat
  0.00    0.000056          56         1 __libc_alloca_cutoff
  0.00    0.000056          56         1 _ZNSt6vectorImSaImEED2Ev
  0.00    0.000055          55         1 _ZNKSt5ctypeIcE13_M_widen_initEv
  0.00    0.000054          54         1 pthread_once
  0.00    0.000054          54         1 _IO_setb
  0.00    0.000054          54         1 pthread_mutex_lock
  0.00    0.000052          52         1 __call_tls_dtors
  0.00    0.000049          49         1 deregister_tm_clones
  0.00    0.000049          49         1 pthread_mutex_unlock
  0.00    0.000049          49         1 _ZNSt10__num_base15_S_format_floatERKSt8ios_basePcc
  0.00    0.000048          48         1 _ZNSt6vectorI10ExperimentSaIS0_EED1Ev
  0.00    0.000047          47         1 _fini
  0.00    0.000047          47         1 _IO_flush_all
------ ----------- ----------- --------- --------------------
100.00   14.478048                 58896 total
