duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:cycles,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cache-misses,perf:l2_rqsts.all_demand_miss,perf:L1-dcache-misses
313212651,49954166378,0,1783269583760871106,2500000,2500000,937518248.000000,0.000000,0.000000,3224.000000,1513387.000000,14847038.000000,28390356.000000
315626254,49954166378,0,1783269584474418468,2500000,2500000,944111035.000000,0.000000,0.000000,3224.000000,1555626.000000,15231793.000000,28412363.000000
314115640,49954166378,0,1783269585152166628,2500000,2500000,940147970.000000,0.000000,0.000000,3224.000000,1495320.000000,15040361.000000,28380123.000000
314672045,49954166378,0,1783269585842079981,2500000,2500000,941741918.000000,0.000000,0.000000,3224.000000,1510118.000000,15137972.000000,28373136.000000
312740861,49954166378,0,1783269586527858339,2500000,2500000,936205615.000000,0.000000,0.000000,3224.000000,1489302.000000,14802247.000000,28373017.000000
317978024,49954166378,0,1783269587274204256,2500000,2500000,950799968.000000,0.000000,0.000000,3224.000000,1516971.000000,15675201.000000,28411701.000000
314173626,49954166378,0,1783269588004050582,2500000,2500000,940018213.000000,0.000000,0.000000,3224.000000,1488872.000000,15068927.000000,28382550.000000
313557093,49954166378,0,1783269588717837794,2500000,2500000,938360532.000000,0.000000,0.000000,3224.000000,1571914.000000,14832664.000000,28362198.000000
315577786,49954166378,0,1783269589436527680,2500000,2500000,944059155.000000,0.000000,0.000000,3224.000000,1470335.000000,15322570.000000,28399111.000000
314358499,49954166378,0,1783269590245357126,2500000,2500000,940506404.000000,0.000000,0.000000,3224.000000,1533825.000000,15014820.000000,28376736.000000
315580687,49954166378,0,1783269590997184700,2500000,2500000,943846645.000000,0.000000,0.000000,3224.000000,1522172.000000,15238401.000000,28400956.000000
314712668,49954166378,0,1783269591802362232,2500000,2500000,941669685.000000,0.000000,0.000000,3224.000000,1515971.000000,15104924.000000,28386980.000000
313088770,49954166378,0,1783269592673769966,2500000,2500000,936955522.000000,0.000000,0.000000,3224.000000,1514215.000000,14804843.000000,28389829.000000
313368897,49954166378,0,1783269593632508787,2500000,2500000,937949484.000000,0.000000,0.000000,3224.000000,1548404.000000,14852652.000000,28378631.000000
313645961,49954166378,0,1783269594566134727,2500000,2500000,943256168.000000,0.000000,0.000000,3224.000000,1724858.000000,14877043.000000,28376116.000000
315661301,49954166378,0,1783269595381306169,2500000,2500000,944207936.000000,0.000000,0.000000,3224.000000,1553368.000000,15213042.000000,28400042.000000
314139081,49954166378,0,1783269596514378503,2500000,2500000,939950583.000000,0.000000,0.000000,3224.000000,1514570.000000,15017987.000000,28330420.000000
312700950,49954166378,0,1783269597329284301,2500000,2500000,935712420.000000,0.000000,0.000000,3224.000000,1537840.000000,14700731.000000,28358497.000000
313303211,49954166378,0,1783269598381126738,2500000,2500000,937672181.000000,0.000000,0.000000,3224.000000,1475557.000000,14923434.000000,28388818.000000
317251088,49954166378,0,1783269599259451248,2500000,2500000,948969237.000000,0.000000,0.000000,3224.000000,1562260.000000,15498088.000000,28402195.000000
314740882,49954166378,0,1783269600050684098,2500000,2500000,941620808.000000,0.000000,0.000000,3224.000000,1512576.000000,15123261.000000,28385349.000000
314691048,49954166378,0,1783269601000069228,2500000,2500000,941552616.000000,0.000000,0.000000,3224.000000,1507280.000000,15121365.000000,28383420.000000
314459637,49954166378,0,1783269602286181641,2500000,2500000,941016416.000000,0.000000,0.000000,3224.000000,1504801.000000,15053709.000000,28389325.000000
316210146,49954166378,0,1783269603131152343,2500000,2500000,945681982.000000,0.000000,0.000000,3224.000000,1561270.000000,15316312.000000,28418134.000000
314014801,49954166378,0,1783269604002281174,2500000,2500000,939629733.000000,0.000000,0.000000,3224.000000,1497006.000000,15004868.000000,28378002.000000
314769811,49954166378,0,1783269605146365955,2500000,2500000,941871697.000000,0.000000,0.000000,3224.000000,1504131.000000,15160204.000000,28388390.000000
316795664,49954166378,0,1783269606366277627,2500000,2500000,947394762.000000,0.000000,0.000000,3224.000000,1561794.000000,15394183.000000,28416627.000000
314768965,49954166378,0,1783269607431681138,2500000,2500000,941721538.000000,0.000000,0.000000,3224.000000,1515755.000000,15093311.000000,28383774.000000
315712484,49954166378,0,1783269608459653623,2500000,2500000,944611708.000000,0.000000,0.000000,3224.000000,1492964.000000,15325214.000000,28357026.000000
314094747,49954166378,0,1783269609500678630,2500000,2500000,939862646.000000,0.000000,0.000000,3224.000000,1483499.000000,15063938.000000,28350364.000000
315054057,49954166378,0,1783269610450409771,2500000,2500000,942753741.000000,0.000000,0.000000,3224.000000,1559917.000000,15079994.000000,28386275.000000
317199529,49954166378,0,1783269611342664940,2500000,2500000,948552512.000000,0.000000,0.000000,3224.000000,1544041.000000,15514725.000000,28424059.000000
313969724,49954166378,0,1783269612308366942,2500000,2500000,939559990.000000,0.000000,0.000000,3224.000000,1499123.000000,14977241.000000,28367300.000000
317751978,49954166378,0,1783269613267730757,2500000,2500000,950249124.000000,0.000000,0.000000,3224.000000,1522117.000000,15635383.000000,28400702.000000
313691239,49954166378,0,1783269614265640842,2500000,2500000,938660835.000000,0.000000,0.000000,3224.000000,1494108.000000,14936649.000000,28362955.000000
314568665,49954166378,0,1783269615218344704,2500000,2500000,941088768.000000,0.000000,0.000000,3224.000000,1568061.000000,15013559.000000,28384891.000000
313259094,49954166378,0,1783269616334426579,2500000,2500000,937695441.000000,0.000000,0.000000,3224.000000,1522556.000000,14849925.000000,28368881.000000
313069640,49954166378,0,1783269617498221687,2500000,2500000,936843776.000000,0.000000,0.000000,3224.000000,1512924.000000,14846448.000000,28368591.000000
314054618,49954166378,0,1783269618503114036,2500000,2500000,939752564.000000,0.000000,0.000000,3224.000000,1531646.000000,14959058.000000,28391273.000000
313591765,49954166378,0,1783269619418323181,2500000,2500000,938518471.000000,0.000000,0.000000,3224.000000,1555164.000000,14859210.000000,28370696.000000
312969276,49954166378,0,1783269620376793433,2500000,2500000,935630732.000000,1.000000,0.000000,3225.000000,1457733.000000,15332838.000000,29109517.000000
318161862,49954166378,0,1783269621284810952,2500000,2500000,951367941.000000,0.000000,0.000000,3224.000000,1682431.000000,15477395.000000,28437250.000000
316605959,49954166378,0,1783269622284392897,2500000,2500000,946435921.000000,0.000000,0.000000,3224.000000,1717187.000000,15086586.000000,28395006.000000
316755931,49954166378,0,1783269623369421258,2500000,2500000,947567621.000000,0.000000,0.000000,3224.000000,1677421.000000,15236975.000000,28419983.000000
316321448,49954166378,0,1783269624393712657,2500000,2500000,945833728.000000,0.000000,0.000000,3224.000000,1744011.000000,15063514.000000,28408819.000000
317331268,49954166378,0,1783269625377575278,2500000,2500000,948797689.000000,0.000000,0.000000,3224.000000,1699868.000000,15285821.000000,28431143.000000
317286306,49954166378,0,1783269626345530945,2500000,2500000,948624420.000000,0.000000,0.000000,3224.000000,1739661.000000,15260967.000000,28411332.000000
317150504,49954166378,0,1783269627338504125,2500000,2500000,948337198.000000,0.000000,0.000000,3224.000000,1655384.000000,15312798.000000,28412937.000000
316453658,49954166378,0,1783269628242764857,2500000,2500000,946211608.000000,0.000000,0.000000,3224.000000,1730251.000000,15070309.000000,28345085.000000
315357224,49954166378,0,1783269629126946135,2500000,2500000,943320241.000000,0.000000,0.000000,3224.000000,1683984.000000,14972923.000000,28389403.000000
317041335,49954166378,0,1783269630036766558,2500000,2500000,947695960.000000,0.000000,0.000000,3224.000000,1736652.000000,15161627.000000,28407168.000000
315078887,49954166378,0,1783269630976513173,2500000,2500000,942465941.000000,0.000000,0.000000,3224.000000,1672826.000000,14917498.000000,28382577.000000
315352371,49954166378,0,1783269631867333135,2500000,2500000,943046349.000000,0.000000,0.000000,3224.000000,1718498.000000,14915641.000000,28393808.000000
317802299,49954166378,0,1783269632833205347,2500000,2500000,950423908.000000,0.000000,0.000000,3224.000000,1642301.000000,15465973.000000,28426681.000000
316922915,49954166378,0,1783269633918181262,2500000,2500000,947442440.000000,0.000000,0.000000,3224.000000,1785255.000000,15059813.000000,28388509.000000
316827636,49954166378,0,1783269634994894173,2500000,2500000,947713528.000000,0.000000,0.000000,3224.000000,1682203.000000,15245746.000000,28413958.000000
315592349,49954166378,0,1783269636179235983,2500000,2500000,943715623.000000,0.000000,0.000000,3224.000000,1700076.000000,14961130.000000,28383908.000000
317318049,49954166378,0,1783269637129183631,2500000,2500000,949083762.000000,0.000000,0.000000,3224.000000,1692800.000000,15318691.000000,28425740.000000
320369682,49954166378,0,1783269637991365338,2500000,2500000,957028318.000000,0.000000,0.000000,3224.000000,1780008.000000,15688423.000000,28444370.000000
318371406,49954166378,0,1783269638976148471,2500000,2500000,951752813.000000,0.000000,0.000000,3224.000000,1665482.000000,15503400.000000,28403595.000000
317424722,49954166378,0,1783269640161710288,2500000,2500000,949045326.000000,0.000000,0.000000,3224.000000,1726986.000000,15243820.000000,28333524.000000
316180228,49954166378,0,1783269641278803460,2500000,2500000,945959685.000000,0.000000,0.000000,3224.000000,1690657.000000,15132761.000000,28396993.000000
317272992,49954166378,0,1783269642463243232,2500000,2500000,948700469.000000,0.000000,0.000000,3224.000000,1729140.000000,15229610.000000,28400318.000000
316959159,49954166378,0,1783269643633668964,2500000,2500000,948053373.000000,0.000000,0.000000,3224.000000,1672118.000000,15274933.000000,28403912.000000
318981406,49954166378,0,1783269644543801794,2500000,2500000,953296038.000000,0.000000,0.000000,3224.000000,1717094.000000,15549982.000000,28352870.000000
316894503,49954166378,0,1783269645317928018,2500000,2500000,947577717.000000,0.000000,0.000000,3224.000000,1656120.000000,15292749.000000,28408273.000000
316858889,49954166378,0,1783269646115749452,2500000,2500000,947287787.000000,0.000000,0.000000,3224.000000,1740972.000000,15115598.000000,28411321.000000
315874326,49954166378,0,1783269646873273611,2500000,2500000,944648984.000000,0.000000,0.000000,3224.000000,1666688.000000,15085557.000000,28404291.000000
318496609,49954166378,0,1783269647624165519,2500000,2500000,952024356.000000,0.000000,0.000000,3224.000000,1746571.000000,15418862.000000,28418948.000000
317768160,49954166378,0,1783269648357253711,2500000,2500000,950067243.000000,0.000000,0.000000,3224.000000,1690987.000000,15403614.000000,28437371.000000
318019295,49954166378,0,1783269649130450445,2500000,2500000,950759366.000000,0.000000,0.000000,3224.000000,1752973.000000,15377662.000000,28420545.000000
319268746,49954166378,0,1783269649850316657,2500000,2500000,954332763.000000,0.000000,0.000000,3224.000000,1695237.000000,15659718.000000,28386154.000000
319121784,49954166378,0,1783269650611743334,2500000,2500000,953911999.000000,0.000000,0.000000,3224.000000,1754104.000000,15466307.000000,28413243.000000
306122394,49954166378,0,1783269651322506894,2500000,2500000,920133223.000000,1.000000,0.000000,3224.000000,1188284.000000,15586670.000000,30134185.000000
314873162,49954166378,0,1783269652053082803,2500000,2500000,942391713.000000,0.000000,0.000000,3224.000000,1504471.000000,15214934.000000,28379883.000000
316475720,49954166378,0,1783269652786073301,2500000,2500000,946750976.000000,0.000000,0.000000,3224.000000,1552013.000000,15329308.000000,28391788.000000
315172192,49954166378,0,1783269653620949285,2500000,2500000,942628718.000000,0.000000,0.000000,3224.000000,1559530.000000,15075684.000000,28372170.000000
318327071,49954166378,0,1783269654432593259,2500000,2500000,953500552.000000,0.000000,0.000000,3224.000000,1514813.000000,15748529.000000,28419256.000000
314683506,49954166378,0,1783269655429681023,2500000,2500000,941516850.000000,0.000000,0.000000,3224.000000,1554181.000000,15129189.000000,28401114.000000
315584252,49954166378,0,1783269656159235193,2500000,2500000,944191484.000000,0.000000,0.000000,3224.000000,1546128.000000,15197655.000000,28401465.000000
317148599,49954166378,0,1783269657039806152,2500000,2500000,948254174.000000,0.000000,0.000000,3224.000000,1535887.000000,15454019.000000,28403634.000000
316583283,49954166378,0,1783269657803283982,2500000,2500000,947018349.000000,0.000000,0.000000,3224.000000,1530046.000000,15388162.000000,28379914.000000
314241471,49954166378,0,1783269658591704111,2500000,2500000,940480185.000000,0.000000,0.000000,3224.000000,1482470.000000,15155152.000000,28401517.000000
315693706,49954166378,0,1783269659359012501,2500000,2500000,944462865.000000,0.000000,0.000000,3224.000000,1547241.000000,15286156.000000,28407384.000000
314592507,49954166378,0,1783269660181784343,2500000,2500000,941307594.000000,0.000000,0.000000,3224.000000,1515872.000000,15060685.000000,28379421.000000
316014078,49954166378,0,1783269660983144121,2500000,2500000,945443478.000000,0.000000,0.000000,3224.000000,1524213.000000,15345197.000000,28418576.000000
312634691,49954166378,0,1783269661786094307,2500000,2500000,936028975.000000,0.000000,0.000000,3224.000000,1479801.000000,14890769.000000,28320713.000000
315860230,49954166378,0,1783269662552673318,2500000,2500000,944993565.000000,0.000000,0.000000,3224.000000,1567175.000000,15213983.000000,28391688.000000
313062396,49954166378,0,1783269663366963716,2500000,2500000,937194004.000000,0.000000,0.000000,3224.000000,1460727.000000,14901541.000000,28361237.000000
