duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
312502530,49954166378,0,1783280378954070621,2500000,2500000,375.129782,0.000000,0.000000,3224.000000,935622319.000000,348669113.000000,87437445.000000,11732325.000000,107026706.000000,28381109.000000,14632315.000000,207183.000000
313030554,49954166378,0,1783280379695331983,2500000,2500000,375.694773,0.000000,0.000000,3224.000000,937032155.000000,348668462.000000,87437311.000000,11720183.000000,107026550.000000,28375062.000000,14598311.000000,226497.000000
314640076,49954166378,0,1783280380405361045,2500000,2500000,377.471902,0.000000,0.000000,3224.000000,941464217.000000,348669423.000000,87437524.000000,11775047.000000,107026809.000000,28382475.000000,14928545.000000,211972.000000
315633899,49954166378,0,1783280381147950585,2500000,2500000,378.559318,0.000000,0.000000,3224.000000,944178020.000000,348668657.000000,87437371.000000,11770541.000000,107026610.000000,28391001.000000,14924519.000000,222866.000000
312374985,49954166378,0,1783280381853064097,2500000,2500000,374.969755,0.000000,0.000000,3224.000000,935222630.000000,348670391.000000,87437683.000000,11734782.000000,107027026.000000,28335239.000000,14512025.000000,212358.000000
313744419,49954166378,0,1783280382574726902,2500000,2500000,375.927144,1.000000,0.000000,3225.000000,937583233.000000,348679583.000000,87439744.000000,11747428.000000,107029612.000000,28416020.000000,14506830.000000,227994.000000
314855599,49954166378,0,1783280383272087677,2500000,2500000,377.580351,0.000000,0.000000,3224.000000,941734384.000000,348738162.000000,87452131.000000,11714610.000000,107041884.000000,28404441.000000,14641267.000000,269245.000000
314723757,49954166378,0,1783280384003951033,2500000,2500000,377.528769,0.000000,0.000000,3224.000000,941606462.000000,348816183.000000,87468708.000000,11716464.000000,107058973.000000,28403649.000000,14642075.000000,271303.000000
315296308,49954166378,0,1783280384702362505,2500000,2500000,378.211631,0.000000,0.000000,3224.000000,943309791.000000,348875694.000000,87479611.000000,11743380.000000,107071545.000000,28409427.000000,14704364.000000,257221.000000
313886534,49954166378,0,1783280385405393070,2500000,2500000,376.609611,0.000000,0.000000,3224.000000,939311646.000000,348876076.000000,87480802.000000,11752218.000000,107071943.000000,28384930.000000,14532288.000000,255494.000000
317073034,49954166378,0,1783280386105614888,2500000,2500000,380.196207,0.000000,0.000000,3224.000000,948259778.000000,348847220.000000,87474631.000000,11795445.000000,107065570.000000,28342238.000000,14937680.000000,264959.000000
316596862,49954166378,0,1783280386813455420,2500000,2500000,379.616942,0.000000,0.000000,3224.000000,946814562.000000,348903370.000000,87484385.000000,11748820.000000,107077161.000000,28409419.000000,15079292.000000,243327.000000
316599586,49954166378,0,1783280387519667796,2500000,2500000,379.637269,0.000000,0.000000,3224.000000,946864131.000000,348793611.000000,87462386.000000,11724322.000000,107053540.000000,28421352.000000,15056795.000000,257224.000000
314942562,49954166378,0,1783280388236282732,2500000,2500000,377.724136,0.000000,0.000000,3224.000000,942093213.000000,348853389.000000,87474419.000000,11765220.000000,107066439.000000,28389944.000000,14561463.000000,255123.000000
314100590,49954166378,0,1783280388935497511,2500000,2500000,376.775137,0.000000,0.000000,3224.000000,939724616.000000,348953541.000000,87494549.000000,11753034.000000,107088036.000000,28374017.000000,14527165.000000,259570.000000
315677946,49954166378,0,1783280389670721402,2500000,2500000,378.548683,0.000000,0.000000,3224.000000,944149222.000000,348916039.000000,87487525.000000,11780405.000000,107080238.000000,28395227.000000,14742273.000000,245439.000000
314620650,49954166378,0,1783280390369023627,2500000,2500000,377.522769,0.000000,0.000000,3224.000000,941590892.000000,348787985.000000,87461526.000000,11761122.000000,107052427.000000,28379748.000000,14650294.000000,256772.000000
316961003,49954166378,0,1783280391080138736,2500000,2500000,380.082280,0.000000,0.000000,3224.000000,947976300.000000,348857222.000000,87475631.000000,11782434.000000,107067459.000000,28408339.000000,15156162.000000,237097.000000
314572647,49954166378,0,1783280391785782104,2500000,2500000,377.288768,0.000000,0.000000,3224.000000,941007272.000000,348845747.000000,87473204.000000,11737761.000000,107064869.000000,28375185.000000,14579928.000000,263670.000000
313605221,49954166378,0,1783280392508335424,2500000,2500000,376.311294,0.000000,0.000000,3224.000000,938568510.000000,348846226.000000,87473357.000000,11767351.000000,107065131.000000,28322009.000000,14533956.000000,232801.000000
