duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
305778966,49954166378,0,1783284640205803517,2500000,2500000,367.550443,0.000000,0.000000,3224.000000,916718566.000000,349130806.000000,87528408.000000,11780909.000000,107126120.000000,28284573.000000,14435758.000000,50460.000000
306320254,49954166378,0,1783284641548827622,2500000,2500000,368.249931,0.000000,0.000000,3224.000000,918463055.000000,348673018.000000,87438178.000000,11804707.000000,107027289.000000,28292010.000000,14487562.000000,50638.000000
305811588,49954166378,0,1783284642441090596,2500000,2500000,367.595943,0.000000,0.000000,3224.000000,916831488.000000,348672896.000000,87438137.000000,11735045.000000,107027263.000000,28289889.000000,14501569.000000,51249.000000
306598699,49954166378,0,1783284643363354334,2500000,2500000,368.620331,0.000000,0.000000,3224.000000,919385921.000000,348674607.000000,87438445.000000,11796989.000000,107027708.000000,28301114.000000,14459779.000000,52547.000000
306457808,49954166378,0,1783284644253124592,2500000,2500000,368.266365,0.000000,0.000000,3224.000000,918502175.000000,348670355.000000,87437713.000000,11790356.000000,107026822.000000,28301214.000000,14430132.000000,53431.000000
305574653,49954166378,0,1783284645154377292,2500000,2500000,367.454259,0.000000,0.000000,3224.000000,916478139.000000,348670663.000000,87437799.000000,11737452.000000,107026926.000000,28317580.000000,14383911.000000,51815.000000
306294665,49954166378,0,1783284646061141499,2500000,2500000,368.169123,0.000000,0.000000,3224.000000,918260946.000000,348669436.000000,87437540.000000,11787187.000000,107026593.000000,28290952.000000,14508447.000000,52500.000000
306533895,49954166378,0,1783284646968725078,2500000,2500000,368.480097,0.000000,0.000000,3224.000000,919035637.000000,348671248.000000,87437907.000000,11770156.000000,107027082.000000,28297299.000000,14583607.000000,53632.000000
305924625,49954166378,0,1783284647863134215,2500000,2500000,367.738568,0.000000,0.000000,3224.000000,917186362.000000,348670625.000000,87437769.000000,11758140.000000,107026922.000000,28296948.000000,14467736.000000,51639.000000
307780055,49954166378,0,1783284648771900416,2500000,2500000,369.936609,0.000000,0.000000,3224.000000,922668357.000000,348670728.000000,87437775.000000,11793544.000000,107027016.000000,28306799.000000,14670171.000000,52276.000000
