duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
315317995,49954166378,0,1783346165684435420,2500000,2500000,378.178755,0.000000,0.000000,3224.000000,943226919.000000,348669374.000000,87437544.000000,11769751.000000,107026622.000000,28399177.000000,14742851.000000,254223.000000
314667914,49954166378,0,1783346166932017225,2500000,2500000,377.535218,0.000000,0.000000,3224.000000,941621075.000000,348669578.000000,87437586.000000,11762965.000000,107026693.000000,28387621.000000,14509366.000000,260888.000000
314239998,49954166378,0,1783346167772188064,2500000,2500000,376.879170,0.000000,0.000000,3224.000000,939984833.000000,348669512.000000,87437549.000000,11716971.000000,107026678.000000,28396881.000000,14587097.000000,255317.000000
316466023,49954166378,0,1783346168985311916,2500000,2500000,378.619660,1.000000,0.000000,3225.000000,944262788.000000,348680383.000000,87439933.000000,11753555.000000,107029677.000000,28438403.000000,14774440.000000,275457.000000
314600683,49954166378,0,1783346170405953476,2500000,2500000,377.393990,0.000000,0.000000,3224.000000,941269875.000000,348772512.000000,87457876.000000,11731541.000000,107048706.000000,28381885.000000,14781529.000000,237489.000000
314650650,49954166378,0,1783346171878524585,2500000,2500000,377.315440,0.000000,0.000000,3224.000000,941074986.000000,348670370.000000,87437716.000000,11782116.000000,107026934.000000,28378072.000000,14602707.000000,252567.000000
315988040,49954166378,0,1783346173322414168,2500000,2500000,378.842624,0.000000,0.000000,3224.000000,944881328.000000,348668546.000000,87437370.000000,11775525.000000,107026480.000000,28400827.000000,14881279.000000,246841.000000
314940743,49954166378,0,1783346174793524141,2500000,2500000,377.658516,0.000000,0.000000,3224.000000,941929385.000000,348668844.000000,87437411.000000,11765461.000000,107026525.000000,28392179.000000,14713143.000000,244828.000000
315391094,49954166378,0,1783346176230365675,2500000,2500000,378.242322,0.000000,0.000000,3224.000000,943385710.000000,348669416.000000,87437578.000000,11726212.000000,107026717.000000,28400043.000000,14777894.000000,250731.000000
313874720,49954166378,0,1783346177640984191,2500000,2500000,376.531371,0.000000,0.000000,3224.000000,939118117.000000,348669203.000000,87437473.000000,11758479.000000,107026700.000000,28383303.000000,14554800.000000,248306.000000
314081943,49954166378,0,1783346179068462482,2500000,2500000,376.754860,0.000000,0.000000,3224.000000,939674836.000000,348669731.000000,87437596.000000,11744567.000000,107026769.000000,28386213.000000,14701811.000000,235666.000000
317008726,49954166378,0,1783346180509973082,2500000,2500000,380.007073,0.000000,0.000000,3224.000000,947788328.000000,348669595.000000,87437585.000000,11771825.000000,107026703.000000,28430370.000000,15034404.000000,244934.000000
314243972,49954166378,0,1783346181968883026,2500000,2500000,376.917165,0.000000,0.000000,3224.000000,940080511.000000,348670010.000000,87437625.000000,11741671.000000,107026823.000000,28385420.000000,14637880.000000,248946.000000
315057592,49954166378,0,1783346183388370728,2500000,2500000,377.923787,0.000000,0.000000,3224.000000,942591247.000000,348669585.000000,87437598.000000,11772671.000000,107026713.000000,28404702.000000,14660335.000000,246246.000000
313269929,49954166378,0,1783346184784072884,2500000,2500000,375.790283,0.000000,0.000000,3224.000000,937268935.000000,348669722.000000,87437591.000000,11772814.000000,107026732.000000,28370495.000000,14327336.000000,247924.000000
314334478,49954166378,0,1783346186229266564,2500000,2500000,377.036475,0.000000,0.000000,3224.000000,940377863.000000,348669683.000000,87437620.000000,11774362.000000,107026736.000000,28388872.000000,14518410.000000,244758.000000
313641477,49954166378,0,1783346187672681566,2500000,2500000,376.276276,0.000000,0.000000,3224.000000,938481706.000000,348669578.000000,87437585.000000,11744005.000000,107026695.000000,28378258.000000,14472496.000000,242303.000000
315518992,49954166378,0,1783346189123673961,2500000,2500000,378.356068,0.000000,0.000000,3224.000000,943667497.000000,348670640.000000,87437740.000000,11733194.000000,107026939.000000,28415396.000000,14820412.000000,253067.000000
313706957,49954166378,0,1783346190551481260,2500000,2500000,376.306147,0.000000,0.000000,3224.000000,938556429.000000,348669081.000000,87437477.000000,11771350.000000,107026583.000000,28378289.000000,14517184.000000,241586.000000
312862657,49954166378,0,1783346191995248674,2500000,2500000,375.551378,0.000000,0.000000,3224.000000,936674080.000000,348669260.000000,87437526.000000,11753444.000000,107026624.000000,28371937.000000,14467598.000000,234409.000000
314676515,49954166378,0,1783346193408240584,2500000,2500000,377.453976,0.000000,0.000000,3224.000000,941419164.000000,348669811.000000,87437635.000000,11794718.000000,107026774.000000,28366696.000000,14707601.000000,233283.000000
313346459,49954166378,0,1783346194803938293,2500000,2500000,375.928494,0.000000,0.000000,3224.000000,937613256.000000,348669944.000000,87437618.000000,11771228.000000,107026815.000000,28371843.000000,14460726.000000,242954.000000
313538530,49954166378,0,1783346196232677531,2500000,2500000,376.279623,0.000000,0.000000,3224.000000,938491886.000000,348670126.000000,87437682.000000,11755638.000000,107026839.000000,28380623.000000,14471368.000000,235303.000000
314515179,49954166378,0,1783346197676944967,2500000,2500000,377.265611,0.000000,0.000000,3224.000000,940948922.000000,348668748.000000,87437407.000000,11750271.000000,107026461.000000,28390202.000000,14629631.000000,250984.000000
314380443,49954166378,0,1783346199141799811,2500000,2500000,377.120594,0.000000,0.000000,3224.000000,940586314.000000,348669738.000000,87437565.000000,11758689.000000,107026695.000000,28340486.000000,14709763.000000,242696.000000
315514909,49954166378,0,1783346200632108754,2500000,2500000,378.349772,0.000000,0.000000,3224.000000,943653079.000000,348669478.000000,87437574.000000,11781252.000000,107026701.000000,28395756.000000,14889017.000000,234393.000000
314224710,49954166378,0,1783346202112113952,2500000,2500000,376.947318,0.000000,0.000000,3224.000000,940153987.000000,348668741.000000,87437447.000000,11761749.000000,107026486.000000,28372888.000000,14604744.000000,246786.000000
314456071,49954166378,0,1783346203577019589,2500000,2500000,377.238329,0.000000,0.000000,3224.000000,940881676.000000,348669837.000000,87437643.000000,11723214.000000,107026796.000000,28396859.000000,14773341.000000,241952.000000
315031544,49954166378,0,1783346205035042551,2500000,2500000,377.775810,0.000000,0.000000,3224.000000,942221381.000000,348669062.000000,87437489.000000,11779378.000000,107026557.000000,28386778.000000,14791380.000000,236496.000000
314825780,49954166378,0,1783346206498371677,2500000,2500000,377.597300,0.000000,0.000000,3224.000000,941777544.000000,348669528.000000,87437562.000000,11782572.000000,107026690.000000,28327027.000000,14603054.000000,245289.000000
314883074,49954166378,0,1783346207940868999,2500000,2500000,377.684376,0.000000,0.000000,3224.000000,941993680.000000,348669846.000000,87437601.000000,11760602.000000,107026751.000000,28385907.000000,14755255.000000,247891.000000
313727525,49954166378,0,1783346209390508652,2500000,2500000,376.376473,0.000000,0.000000,3224.000000,938730967.000000,348669484.000000,87437569.000000,11740383.000000,107026689.000000,28379532.000000,14603330.000000,235205.000000
315264418,49954166378,0,1783346210829373254,2500000,2500000,378.093671,0.000000,0.000000,3224.000000,943014004.000000,348669141.000000,87437524.000000,11736300.000000,107026599.000000,28417321.000000,14769648.000000,241661.000000
314519187,49954166378,0,1783346212273760541,2500000,2500000,377.221351,0.000000,0.000000,3224.000000,940838856.000000,348669049.000000,87437513.000000,11741007.000000,107026586.000000,28389567.000000,14750663.000000,239149.000000
314477161,49954166378,0,1783346213763422448,2500000,2500000,377.273432,0.000000,0.000000,3224.000000,940967745.000000,348670457.000000,87437780.000000,11775760.000000,107026965.000000,28374612.000000,14742725.000000,236597.000000
314724032,49954166378,0,1783346215259368852,2500000,2500000,377.566534,0.000000,0.000000,3224.000000,941700462.000000,348670109.000000,87437639.000000,11746831.000000,107026802.000000,28337942.000000,14782949.000000,242996.000000
315874744,49954166378,0,1783346216681210012,2500000,2500000,378.811948,0.000000,0.000000,3224.000000,944806177.000000,348669971.000000,87437665.000000,11756819.000000,107026794.000000,28411987.000000,14869180.000000,236178.000000
313625314,49954166378,0,1783346218102136047,2500000,2500000,376.287703,0.000000,0.000000,3224.000000,938508737.000000,348670268.000000,87437703.000000,11750701.000000,107026880.000000,28395432.000000,14441178.000000,245739.000000
314785070,49954166378,0,1783346219550569935,2500000,2500000,377.558453,0.000000,0.000000,3224.000000,941677881.000000,348668648.000000,87437414.000000,11801736.000000,107026456.000000,28375375.000000,14690377.000000,238584.000000
314457160,49954166378,0,1783346220995989807,2500000,2500000,377.081596,0.000000,0.000000,3224.000000,940489745.000000,348669815.000000,87437626.000000,11790416.000000,107026771.000000,28371797.000000,14624395.000000,241046.000000
313802565,49954166378,0,1783346222410615923,2500000,2500000,376.481490,0.000000,0.000000,3224.000000,938992314.000000,348670688.000000,87437758.000000,11764533.000000,107027028.000000,28322579.000000,14622350.000000,239961.000000
315172540,49954166378,0,1783346223782375728,2500000,2500000,377.907194,0.000000,0.000000,3224.000000,942548956.000000,348678815.000000,87439535.000000,11746170.000000,107028698.000000,28402872.000000,14787168.000000,246684.000000
315734890,49954166378,0,1783346225155888862,2500000,2500000,378.548158,0.000000,0.000000,3224.000000,944148695.000000,348668564.000000,87437381.000000,11775928.000000,107026446.000000,28393068.000000,14915575.000000,238914.000000
315349645,49954166378,0,1783346226494456442,2500000,2500000,378.195835,0.000000,0.000000,3224.000000,943269582.000000,348671048.000000,87437835.000000,11779907.000000,107027040.000000,28391798.000000,14785991.000000,249973.000000
314305258,49954166378,0,1783346227700418336,2500000,2500000,377.043255,0.000000,0.000000,3224.000000,940395714.000000,348668886.000000,87437469.000000,11757571.000000,107026531.000000,28391219.000000,14673568.000000,239689.000000
317078857,49954166378,0,1783346228891645838,2500000,2500000,380.174912,0.000000,0.000000,3224.000000,948206330.000000,348669307.000000,87437542.000000,11724295.000000,107026642.000000,28445628.000000,15000995.000000,255467.000000
314834822,49954166378,0,1783346230195099599,2500000,2500000,377.546086,0.000000,0.000000,3224.000000,941650413.000000,348670716.000000,87437752.000000,11751190.000000,107026980.000000,28395892.000000,14792747.000000,240581.000000
315490856,49954166378,0,1783346231465196280,2500000,2500000,378.379720,0.000000,0.000000,3224.000000,943729436.000000,348670582.000000,87437771.000000,11750948.000000,107026980.000000,28411138.000000,14863528.000000,246391.000000
314639425,49954166378,0,1783346232828568708,2500000,2500000,377.414377,0.000000,0.000000,3224.000000,941319722.000000,348669252.000000,87437522.000000,11752739.000000,107026608.000000,28397967.000000,14689564.000000,237829.000000
315872247,49954166378,0,1783346234295029584,2500000,2500000,378.743690,0.000000,0.000000,3224.000000,944635016.000000,348669682.000000,87437621.000000,11729938.000000,107026743.000000,28404877.000000,14839639.000000,245483.000000
315322815,49954166378,0,1783346235758030615,2500000,2500000,378.335916,0.000000,0.000000,3224.000000,943618293.000000,348670442.000000,87437685.000000,11716827.000000,107026878.000000,28428294.000000,14732254.000000,253123.000000
314132866,49954166378,0,1783346237160266609,2500000,2500000,376.802640,0.000000,0.000000,3224.000000,939794022.000000,348669160.000000,87437506.000000,11745197.000000,107026617.000000,28386657.000000,14535554.000000,242635.000000
316756441,49954166378,0,1783346238549425755,2500000,2500000,379.734753,0.000000,0.000000,3224.000000,947108025.000000,348668520.000000,87437375.000000,11741412.000000,107026433.000000,28425254.000000,14993780.000000,252264.000000
313938260,49954166378,0,1783346239969586250,2500000,2500000,376.598967,0.000000,0.000000,3224.000000,939286949.000000,348670411.000000,87437749.000000,11762808.000000,107026923.000000,28379737.000000,14614351.000000,243384.000000
314262635,49954166378,0,1783346241379146446,2500000,2500000,376.949243,0.000000,0.000000,3224.000000,940160534.000000,348669862.000000,87437629.000000,11742568.000000,107026796.000000,28388986.000000,14682939.000000,238004.000000
315353184,49954166378,0,1783346242768440951,2500000,2500000,378.174467,0.000000,0.000000,3224.000000,943216327.000000,348669894.000000,87437653.000000,11745870.000000,107026779.000000,28345322.000000,14884634.000000,243495.000000
314163083,49954166378,0,1783346244214420212,2500000,2500000,376.893253,0.000000,0.000000,3224.000000,940020490.000000,348670149.000000,87437688.000000,11719826.000000,107026857.000000,28403521.000000,14667693.000000,235662.000000
313952729,49954166378,0,1783346245670989132,2500000,2500000,376.695287,0.000000,0.000000,3224.000000,939526519.000000,348668641.000000,87437389.000000,11726049.000000,107026482.000000,28399882.000000,14613276.000000,251126.000000
313376506,49954166378,0,1783346247153597604,2500000,2500000,376.019850,0.000000,0.000000,3224.000000,937842103.000000,348670382.000000,87437723.000000,11720123.000000,107026933.000000,28394632.000000,14586397.000000,241700.000000
314490638,49954166378,0,1783346248585706792,2500000,2500000,377.172777,0.000000,0.000000,3224.000000,940718338.000000,348669135.000000,87437499.000000,11762710.000000,107026581.000000,28379894.000000,14708884.000000,240263.000000
314544677,49954166378,0,1783346250054764816,2500000,2500000,377.320828,0.000000,0.000000,3224.000000,941086241.000000,348669684.000000,87437603.000000,11715316.000000,107026742.000000,28407318.000000,14749868.000000,236001.000000
313355762,49954166378,0,1783346251532067905,2500000,2500000,375.909384,0.000000,0.000000,3224.000000,937566178.000000,348669955.000000,87437680.000000,11774971.000000,107026810.000000,28374082.000000,14434879.000000,245857.000000
313928408,49954166378,0,1783346252988476983,2500000,2500000,376.573715,0.000000,0.000000,3224.000000,939224266.000000,348669649.000000,87437616.000000,11748639.000000,107026726.000000,28366212.000000,14579439.000000,241555.000000
315185422,49954166378,0,1783346254443804180,2500000,2500000,378.032273,0.000000,0.000000,3224.000000,942860935.000000,348670165.000000,87437686.000000,11744488.000000,107026888.000000,28401253.000000,14839910.000000,244828.000000
315912695,49954166378,0,1783346255880163167,2500000,2500000,378.812595,0.000000,0.000000,3224.000000,944807349.000000,348670414.000000,87437721.000000,11765601.000000,107026912.000000,28398090.000000,14865188.000000,242123.000000
315251586,49954166378,0,1783346257285843535,2500000,2500000,378.136262,0.000000,0.000000,3224.000000,943121542.000000,348669139.000000,87437507.000000,11744154.000000,107026604.000000,28395835.000000,14727410.000000,246164.000000
314353485,49954166378,0,1783346258703428479,2500000,2500000,377.058553,0.000000,0.000000,3224.000000,940433081.000000,348669308.000000,87437529.000000,11788352.000000,107026654.000000,28381338.000000,14602658.000000,229823.000000
315328771,49954166378,0,1783346260105267539,2500000,2500000,378.220080,0.000000,0.000000,3224.000000,943329472.000000,348669153.000000,87437523.000000,11754117.000000,107026599.000000,28411525.000000,14776099.000000,237932.000000
314289620,49954166378,0,1783346261555245168,2500000,2500000,376.996862,0.000000,0.000000,3224.000000,940278331.000000,348669571.000000,87437583.000000,11775115.000000,107026695.000000,28384022.000000,14681348.000000,233327.000000
315078057,49954166378,0,1783346263011696590,2500000,2500000,377.957476,0.000000,0.000000,3224.000000,942673638.000000,348670139.000000,87437674.000000,11717258.000000,107026881.000000,28418290.000000,14881334.000000,238458.000000
315604954,49954166378,0,1783346264461151187,2500000,2500000,378.541151,0.000000,0.000000,3224.000000,944130276.000000,348669505.000000,87437596.000000,11772587.000000,107026704.000000,28401364.000000,14780126.000000,238057.000000
313129152,49954166378,0,1783346265881146113,2500000,2500000,375.826215,0.000000,0.000000,3224.000000,937357383.000000,348669137.000000,87437503.000000,11718306.000000,107026585.000000,28386315.000000,14538978.000000,238539.000000
313943565,49954166378,0,1783346267305452858,2500000,2500000,376.697882,0.000000,0.000000,3224.000000,939534375.000000,348669238.000000,87437513.000000,11716490.000000,107026619.000000,28403540.000000,14687999.000000,242314.000000
314658530,49954166378,0,1783346268713770977,2500000,2500000,377.435893,0.000000,0.000000,3224.000000,941373820.000000,348669487.000000,87437589.000000,11741449.000000,107026694.000000,28403308.000000,14714954.000000,247895.000000
314393326,49954166378,0,1783346270131568314,2500000,2500000,377.062541,0.000000,0.000000,3224.000000,940442312.000000,348669578.000000,87437585.000000,11780999.000000,107026698.000000,28379725.000000,14543915.000000,244062.000000
307946620,49954166378,0,1783346271577290729,2500000,2500000,369.893746,1.000000,0.000000,3225.000000,922501125.000000,348680427.000000,87439919.000000,11729021.000000,107029713.000000,29806773.000000,14901673.000000,179431.000000
314516198,49954166378,0,1783346273030076531,2500000,2500000,377.177023,0.000000,0.000000,3224.000000,940729051.000000,348669197.000000,87437501.000000,11761922.000000,107026657.000000,28342227.000000,14605833.000000,260431.000000
314492968,49954166378,0,1783346274529255580,2500000,2500000,377.172051,0.000000,0.000000,3224.000000,940715164.000000,348669939.000000,87437632.000000,11756212.000000,107026835.000000,28382005.000000,14460572.000000,264509.000000
314979833,49954166378,0,1783346275998571930,2500000,2500000,377.759025,0.000000,0.000000,3224.000000,942181067.000000,348669563.000000,87437580.000000,11779965.000000,107026733.000000,28368273.000000,14676367.000000,258315.000000
315701761,49954166378,0,1783346277521263430,2500000,2500000,378.387470,0.000000,0.000000,3224.000000,943746383.000000,348669619.000000,87437603.000000,11790655.000000,107026752.000000,28378845.000000,14723438.000000,264072.000000
314722900,49954166378,0,1783346278985420659,2500000,2500000,377.524056,0.000000,0.000000,3224.000000,941594387.000000,348669412.000000,87437544.000000,11728953.000000,107026673.000000,28404100.000000,14635366.000000,250531.000000
315079066,49954166378,0,1783346280465353529,2500000,2500000,377.880288,0.000000,0.000000,3224.000000,942482027.000000,348668856.000000,87437452.000000,11714956.000000,107026552.000000,28348143.000000,14834522.000000,253382.000000
305821418,49954166378,0,1783346281911786690,2500000,2500000,367.716417,1.000000,0.000000,3225.000000,917104580.000000,348680209.000000,87439859.000000,11798164.000000,107029658.000000,30119267.000000,14849055.000000,162602.000000
316002873,49954166378,0,1783346283344864023,2500000,2500000,378.934743,0.000000,0.000000,3224.000000,945112301.000000,348669468.000000,87437547.000000,11715245.000000,107026679.000000,28366126.000000,14952280.000000,243313.000000
313458139,49954166378,0,1783346284779050477,2500000,2500000,376.153729,0.000000,0.000000,3224.000000,938177911.000000,348670201.000000,87437681.000000,11716847.000000,107026865.000000,28398171.000000,14571422.000000,245494.000000
316174722,49954166378,0,1783346286177667439,2500000,2500000,379.105789,0.000000,0.000000,3224.000000,945538899.000000,348669329.000000,87437550.000000,11773445.000000,107026637.000000,28405713.000000,14976153.000000,243134.000000
313917929,49954166378,0,1783346287575570031,2500000,2500000,376.652145,0.000000,0.000000,3224.000000,939418608.000000,348670307.000000,87437691.000000,11763943.000000,107026880.000000,28387006.000000,14694186.000000,232358.000000
314074242,49954166378,0,1783346288996628918,2500000,2500000,376.730240,0.000000,0.000000,3224.000000,939614332.000000,348670055.000000,87437674.000000,11767017.000000,107026831.000000,28373895.000000,14618844.000000,243195.000000
314964535,49954166378,0,1783346290424027365,2500000,2500000,377.805559,0.000000,0.000000,3224.000000,942296187.000000,348669897.000000,87437611.000000,11722760.000000,107026759.000000,28415075.000000,14872044.000000,240947.000000
