cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,305823295,49954166378,2500000,367.622588,0.000000,0.000000,3224.000000,916897646.000000,348678969.000000,87439328.000000,11737293.000000,107029132.000000,28300888.000000,14490988.000000,49274.000000,1783455845946194692,0
2500000,306977378,49954166378,2500000,368.817756,0.000000,0.000000,3224.000000,919877016.000000,348678766.000000,87439301.000000,11816762.000000,107029103.000000,28281072.000000,14579257.000000,48948.000000,1783455846408720252,0
2500000,306071081,49954166378,2500000,367.806724,0.000000,0.000000,3224.000000,917355997.000000,348679758.000000,87439469.000000,11795787.000000,107029317.000000,28274371.000000,14449117.000000,49229.000000,1783455846824913221,0
2500000,306185491,49954166378,2500000,367.952386,0.000000,0.000000,3224.000000,917720554.000000,348674401.000000,87438563.000000,11801196.000000,107028186.000000,28282838.000000,14457955.000000,50029.000000,1783455847241585143,0
2500000,306191830,49954166378,2500000,368.038854,0.000000,0.000000,3224.000000,917934192.000000,348677470.000000,87439119.000000,11748436.000000,107028958.000000,28304496.000000,14553945.000000,50502.000000,1783455847658786832,0
2500000,306269711,49954166378,2500000,368.040885,0.000000,0.000000,3224.000000,917939681.000000,348677383.000000,87439102.000000,11804396.000000,107028953.000000,28224617.000000,14498199.000000,49515.000000,1783455848074393931,0
2500000,306911437,49954166378,2500000,368.819946,0.000000,0.000000,3224.000000,919885185.000000,348677422.000000,87439139.000000,11802569.000000,107028971.000000,28236738.000000,14595537.000000,50769.000000,1783455848491893799,0
2500000,306258286,49954166378,2500000,368.080695,0.000000,0.000000,3224.000000,918039996.000000,348675124.000000,87438714.000000,11789310.000000,107028365.000000,28289603.000000,14496035.000000,51520.000000,1783455848908913915,0
2500000,305758630,49954166378,2500000,367.551161,0.000000,0.000000,3224.000000,916719178.000000,348674123.000000,87438591.000000,11771356.000000,107028146.000000,28290376.000000,14436521.000000,49717.000000,1783455849323463893,0
2500000,306545202,49954166378,2500000,368.479831,0.000000,0.000000,3224.000000,919035306.000000,348676650.000000,87438955.000000,11735525.000000,107028723.000000,28242911.000000,14663711.000000,50066.000000,1783455849737049617,0
2500000,306235366,49954166378,2500000,368.102428,0.000000,0.000000,3224.000000,918094161.000000,348674381.000000,87438567.000000,11767513.000000,107028168.000000,28238522.000000,14553835.000000,50220.000000,1783455850154031391,0
2500000,306118286,49954166378,2500000,367.975787,0.000000,0.000000,3224.000000,917778036.000000,348675369.000000,87438730.000000,11734384.000000,107028447.000000,28302250.000000,14571272.000000,51055.000000,1783455850565087622,0
2500000,306798893,49954166378,2500000,368.726385,0.000000,0.000000,3224.000000,919650263.000000,348674723.000000,87438635.000000,11803900.000000,107028248.000000,28284915.000000,14559698.000000,50394.000000,1783455850977285149,0
2500000,307829165,49954166378,2500000,370.005448,0.000000,0.000000,3224.000000,922840321.000000,348675431.000000,87438734.000000,11737375.000000,107028393.000000,28279121.000000,14903751.000000,50451.000000,1783455851392984315,0
2500000,307550587,49954166378,2500000,369.639954,0.000000,0.000000,3224.000000,921929819.000000,348674407.000000,87438555.000000,11753091.000000,107028174.000000,28302758.000000,14775431.000000,50292.000000,1783455851811346950,0
2500000,300258035,49954166378,2500000,361.914583,0.000000,0.000000,3224.000000,902661166.000000,348679425.000000,87439646.000000,11820790.000000,107029603.000000,30132155.000000,14768784.000000,33590.000000,1783455852226125182,0
2500000,306452356,49954166378,2500000,368.353436,0.000000,0.000000,3224.000000,918720805.000000,348705531.000000,87445093.000000,11754383.000000,107034980.000000,28296444.000000,14371140.000000,81208.000000,1783455852634372187,0
2500000,309581505,49954166378,2500000,371.789988,0.000000,0.000000,3224.000000,927292949.000000,348677371.000000,87439060.000000,11753590.000000,107028857.000000,28284462.000000,14941251.000000,84681.000000,1783455853049223483,0
2500000,309488679,49954166378,2500000,371.716956,0.000000,0.000000,3224.000000,927110194.000000,348677549.000000,87439189.000000,11764770.000000,107028984.000000,28333056.000000,14833460.000000,90981.000000,1783455853468468654,0
2500000,308915520,49954166378,2500000,371.098886,0.000000,0.000000,3224.000000,925567445.000000,348676895.000000,87439029.000000,11779131.000000,107028764.000000,28267374.000000,14825432.000000,76587.000000,1783455853890954457,0
2500000,306955038,49954166378,2500000,368.920473,0.000000,0.000000,3224.000000,920134805.000000,348680136.000000,87439517.000000,11766729.000000,107029619.000000,28287301.000000,14399032.000000,85426.000000,1783455854308247214,0
2500000,306347388,49954166378,2500000,368.259818,0.000000,0.000000,3224.000000,918486848.000000,348675394.000000,87438780.000000,11751874.000000,107028395.000000,28282946.000000,14357648.000000,80243.000000,1783455854723975174,0
2500000,306929938,49954166378,2500000,368.885581,0.000000,0.000000,3224.000000,920048674.000000,348675884.000000,87438856.000000,11750393.000000,107028536.000000,28248950.000000,14468559.000000,82562.000000,1783455855139709240,0
2500000,309105313,49954166378,2500000,371.366778,0.000000,0.000000,3224.000000,926235293.000000,348674390.000000,87438592.000000,11754504.000000,107028110.000000,28335385.000000,14862135.000000,80974.000000,1783455855555175087,0
2500000,309280810,49954166378,2500000,371.472220,0.000000,0.000000,3224.000000,926500214.000000,348677616.000000,87439233.000000,11769099.000000,107029021.000000,28319413.000000,14812479.000000,85298.000000,1783455855975106169,0
2500000,309073426,49954166378,2500000,371.194481,0.000000,0.000000,3224.000000,925807030.000000,348674887.000000,87438681.000000,11776808.000000,107028252.000000,28302251.000000,14778403.000000,86369.000000,1783455856394195093,0
2500000,308874205,49954166378,2500000,371.067190,0.000000,0.000000,3224.000000,925491078.000000,348676569.000000,87438974.000000,11781718.000000,107028737.000000,28319822.000000,14764656.000000,82034.000000,1783455856815246721,0
2500000,308558368,49954166378,2500000,370.680651,0.000000,0.000000,3224.000000,924524046.000000,348675897.000000,87438822.000000,11745272.000000,107028500.000000,28269971.000000,14791464.000000,80655.000000,1783455857233815988,0
2500000,307274620,49954166378,2500000,369.380530,0.000000,0.000000,3224.000000,921281911.000000,348677374.000000,87439089.000000,11768325.000000,107028898.000000,28310803.000000,14505075.000000,81685.000000,1783455857654047581,0
2500000,307204902,49954166378,2500000,369.237971,0.000000,0.000000,3224.000000,920926200.000000,348676423.000000,87438962.000000,11745701.000000,107028674.000000,28319236.000000,14536989.000000,81496.000000,1783455858070762691,0
2500000,307785736,49954166378,2500000,369.852250,0.000000,0.000000,3224.000000,922459077.000000,348674652.000000,87438621.000000,11763977.000000,107028200.000000,28313819.000000,14599534.000000,84338.000000,1783455858487718743,0
2500000,306447789,49954166378,2500000,368.282154,0.000000,0.000000,3224.000000,918541530.000000,348676717.000000,87439026.000000,11763547.000000,107028758.000000,28292426.000000,14366946.000000,80784.000000,1783455858903764316,0
2500000,308112999,49954166378,2500000,370.231909,0.000000,0.000000,3224.000000,923407058.000000,348676053.000000,87438902.000000,11743004.000000,107028543.000000,28325452.000000,14648741.000000,84333.000000,1783455859318363017,0
