duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after
315409464,49954166378,0,1782924714270408794,2500000,2500000
315739996,49954166378,0,1782924714843153662,2500000,2500000
317092771,49954166378,0,1782924715407513066,2500000,2500000
315127540,49954166378,0,1782924715979450737,2500000,2500000
316505889,49954166378,0,1782924716548303874,2500000,2500000
316585778,49954166378,0,1782924717117480864,2500000,2500000
317498083,49954166378,0,1782924717680796417,2500000,2499998
314202947,49954166378,0,1782924718243791861,2500000,2500000
316479355,49954166378,0,1782924718807630642,2500000,2499999
306982583,49954166378,0,1782924719374751605,2500000,2500000
311299005,49954166378,0,1782924719932822841,2500000,2500001
311992110,49954166378,0,1782924720494614783,2500000,2500000
313115733,49954166378,0,1782924721054414719,2500000,2499999
311354269,49954166378,0,1782924721611182552,2500000,2499998
313094956,49954166378,0,1782924722174994283,2500000,2500000
311081465,49954166378,0,1782924722743692359,2500000,2499998
311397512,49954166378,0,1782924723308530289,2500000,2499998
310933104,49954166378,0,1782924723869059288,2500000,2500001
312720302,49954166378,0,1782924724427764423,2500000,2500000
310776400,49954166378,0,1782924724992158163,2500000,2500000
313975714,49954166378,0,1782924725545972570,2500000,2499998
312280961,49954166378,0,1782924726113761738,2500000,2500000
314341623,49954166378,0,1782924726673410875,2500000,2500000
313306480,49954166378,0,1782924727240686774,2500000,2499998
312028344,49954166378,0,1782924727801214536,2500000,2500000
312433909,49954166378,0,1782924728359782187,2500000,2500000
312448601,49954166378,0,1782924728918279956,2500000,2499999
312295370,49954166378,0,1782924729472917758,2500000,2500000
315387207,49954166378,0,1782924730039479684,2500000,2500000
314036252,49954166378,0,1782924730603182808,2500000,2500000
314289067,49954166378,0,1782924731164635290,2500000,2499999
314223056,49954166378,0,1782924731724092787,2500000,2500000
313134032,49954166378,0,1782924732282571522,2500000,2500000
315780832,49954166378,0,1782924732847415439,2500000,2499999
313863642,49954166378,0,1782924733407704755,2500000,2500000
313911175,49954166378,0,1782924733975339726,2500000,2500000
314324668,49954166378,0,1782924734532157307,2500000,2499999
345015371,49954166378,0,1782924735082674973,2500000,2499999
314022444,49954166378,0,1782924735680619173,2500000,2499999
312573800,49954166378,0,1782924736242589964,2500000,2500000
314496746,49954166378,0,1782924736797177813,2500000,2499999
313069599,49954166378,0,1782924737360237728,2500000,2499999
313755848,49954166378,0,1782924737925982513,2500000,2500000
312702091,49954166378,0,1782924738488957408,2500000,2500000
316421865,49954166378,0,1782924739052501369,2500000,2500000
315663303,49954166378,0,1782924739621534485,2500000,2499999
313044910,49954166378,0,1782924740185282890,2500000,2499998
312654324,49954166378,0,1782924740743522809,2500000,2500000
313280632,49954166378,0,1782924741312445664,2500000,2500000
312957461,49954166378,0,1782924741880466329,2500000,2500000
315114157,49954166378,0,1782924742448925359,2500000,2500000
312589516,49954166378,0,1782924743042182496,2500000,2500000
315090877,49954166378,0,1782924743644655979,2500000,2500000
313870527,49954166378,0,1782924744249918337,2500000,2500000
314176563,49954166378,0,1782924744860259786,2500000,2499999
316160438,49954166378,0,1782924745483550618,2500000,2500000
313545366,49954166378,0,1782924746110433610,2500000,2500000
314258962,49954166378,0,1782924746729772689,2500000,2499997
317605417,49954166378,0,1782924747343404121,2500000,2500000
313872146,49954166378,0,1782924747962159372,2500000,2500000
315298247,49954166378,0,1782924748567255261,2500000,2500000
314964159,49954166378,0,1782924749158676860,2500000,2500000
314268460,49954166378,0,1782924749749399006,2500000,2500000
317591448,49954166378,0,1782924750331291168,2500000,2499997
314821927,49954166378,0,1782924750918354773,2500000,2499999
313829465,49954166378,0,1782924751502909730,2500000,2500001
313505505,49954166378,0,1782924752099610345,2500000,2500000
316008514,49954166378,0,1782924752683327635,2500000,2499997
313251158,49954166378,0,1782924753268524347,2500000,2499999
316430147,49954166378,0,1782924753840654121,2500000,2499999
314564000,49954166378,0,1782924754409005340,2500000,2499999
313298031,49954166378,0,1782924754981386908,2500000,2500000
314550637,49954166378,0,1782924755552761750,2500000,2500000
314188225,49954166378,0,1782924756125491928,2500000,2499999
315086023,49954166378,0,1782924756705011398,2500000,2499999
313022624,49954166378,0,1782924757294022561,2500000,2500000
346498105,49954166378,0,1782924757866315802,2500000,2500000
312827982,49954166378,0,1782924758466401193,2500000,2499999
313971844,49954166378,0,1782924759036799769,2500000,2499999
313695174,49954166378,0,1782924759604927412,2500000,2499999
310641003,49954166378,0,1782924760177960244,2500000,2500000
315251589,49954166378,0,1782924760743182258,2500000,2500000
313989992,49954166378,0,1782924761310535983,2500000,2500000
313629060,49954166378,0,1782924761875774244,2500000,2500000
317001758,49954166378,0,1782924762441027001,2500000,2499998
313134776,49954166378,0,1782924763007042369,2500000,2500000
314440133,49954166378,0,1782924763556105691,2500000,2499999
313433603,49954166378,0,1782924764125231499,2500000,2500000
315591919,49954166378,0,1782924764694032170,2500000,2499999
315257461,49954166378,0,1782924765262222519,2500000,2499999
314184406,49954166378,0,1782924765833226251,2500000,2500000
314263781,49954166378,0,1782924766411983496,2500000,2500000
313349895,49954166378,0,1782924766981480768,2500000,2500001
313662094,49954166378,0,1782924767547320498,2500000,2500000
315912827,49954166378,0,1782924768118980648,2500000,2500000
314072200,49954166378,0,1782924768689795558,2500000,2500000
313733539,49954166378,0,1782924769257424824,2500000,2500000
314723024,49954166378,0,1782924769823087988,2500000,2499999
313737904,49954166378,0,1782924770390566616,2500000,2500000
311797134,49954166378,0,1782924770955451179,2500000,2499999
313257852,49954166378,0,1782924771515388317,2500000,2500000
311601466,49954166378,0,1782924772069208164,2500000,2499998
314450831,49954166378,0,1782924772631093309,2500000,2500001
316143022,49954166378,0,1782924773213622472,2500000,2500000
313044306,49954166378,0,1782924773794706293,2500000,2500000
